Blink Count,Time start,Time end
206,25.140962,25.140962
207,25.160944,25.160944
208,25.181035,25.181035
209,25.201016,25.201016
210,25.221108,25.221108
211,25.241089,25.241089
212,25.26118,25.26118
213,25.281161,25.281161
214,25.301253,25.301253
215,25.321234,25.321234
216,25.341326,25.351321
217,25.381398,25.381398
218,25.401379,25.401379
219,25.42147,25.42147
220,25.461542,25.461542
221,25.481524,25.481524
222,25.501615,25.501615
223,25.521597,25.521597
224,25.541688,25.541688
225,25.561669,25.561669
226,25.58176,25.58176
227,25.601741,25.601741
228,25.621833,25.621833
229,25.641814,25.641814
230,25.661905,25.661905
231,25.681886,25.681886
232,25.701978,25.701978
233,25.721959,25.721959
234,25.74205,25.74205
235,25.762031,25.762031
236,25.782123,25.782123
237,25.802103,25.802103
238,25.822195,25.822195
239,25.842176,25.842176
240,25.862268,25.872262
241,25.90234,25.90234
242,25.92232,25.92232
243,25.942412,25.942412
244,25.962394,25.962394
245,25.982485,25.982485
246,26.002466,26.002466
247,26.022557,26.022557
248,26.042539,26.042539
249,26.06263,26.06263
250,26.082611,26.082611
251,26.102703,26.102703
252,26.122684,26.122684
253,26.142775,26.142775
254,26.162756,26.202827
255,26.22292,26.22292
256,26.262992,26.262992
257,26.282973,26.282973
258,26.363118,26.363118
259,26.38321,26.38321
260,26.70379,26.70379
261,26.884062,26.884062
262,27.144587,27.154583
263,27.585384,27.585384
264,29.649064,29.649064
265,29.669155,29.669155
266,29.689136,29.689136
267,29.709227,29.709227
268,29.949663,29.949663
269,29.969643,29.969643
270,29.989735,29.989735
271,30.009716,30.009716
272,30.029808,30.029808
273,31.692761,31.692761
274,31.712852,31.712852
275,32.013341,32.013341
276,32.193723,32.193723
277,32.394085,32.394085
278,32.434157,32.434157
279,32.47423,32.47423
280,33.195535,33.195535
281,33.235608,33.235608
282,33.255589,33.255589
283,33.27568,33.27568
284,34.437783,34.437783
285,34.958725,34.958725
286,35.018778,35.018778
287,35.038871,35.038871
288,35.058851,35.058851
289,35.078943,35.078943
290,35.098924,35.098924
291,35.119015,35.119015
292,35.138996,35.138996
293,35.159088,35.159088
294,35.179068,35.179068
295,35.19916,35.19916
296,35.219141,35.219141
297,35.239233,35.239233
298,35.259213,35.259213
299,35.279305,35.279305
300,35.299286,35.299286
301,35.319378,35.319378
302,35.33936,35.33936
303,35.35945,35.35945
304,35.379432,35.379432
305,35.399523,35.399523
306,35.419503,35.419503
307,35.439595,35.439595
308,35.459576,35.459576
309,35.479667,35.479667
310,35.499649,35.499649
311,35.519739,35.519739
312,35.539721,35.539721
313,35.559812,35.559812
314,35.579794,35.579794
315,35.599885,35.599885
316,35.619866,35.619866
317,35.639957,35.639957
318,35.659939,35.659939
319,35.68003,35.68003
320,35.700011,35.700011
321,35.720102,35.720102
322,35.740084,35.740084
323,35.760175,35.760175
324,35.780156,35.780156
325,35.800247,35.800247
326,35.820229,35.820229
327,35.84032,35.84032
328,35.860301,35.860301
329,35.880393,35.880393
330,35.900374,35.900374
331,35.920465,35.920465
332,35.940446,35.940446
333,35.960538,35.960538
334,35.980518,35.980518
335,36.000611,36.000611
336,36.020591,36.020591
337,36.040683,36.040683
338,36.060663,36.060663
339,36.080755,36.080755
340,36.100736,36.100736
341,36.120828,36.120828
342,36.140809,36.140809
343,36.1609,36.1609
344,36.180881,36.180881
345,36.200972,36.200972
346,36.220953,36.220953
347,36.241046,36.241046
348,36.261027,36.261027
349,36.281118,36.281118
350,36.301098,36.301098
351,36.32119,36.32119
352,36.341171,36.341171
353,36.361263,36.361263
354,36.381244,36.381244
355,36.401335,36.401335
356,36.421316,36.421316
357,36.441407,36.441407
358,36.461389,36.461389
359,36.48148,36.48148
360,36.501462,36.501462
361,36.521553,36.521553
362,36.541534,36.541534
363,36.561625,36.561625
364,36.581607,36.581607
365,36.601698,36.601698
366,36.621678,36.621678
367,36.64177,36.64177
368,36.661751,36.661751
369,36.681842,36.681842
370,36.701824,36.701824
371,36.721915,36.721915
372,36.741896,36.741896
373,36.761988,36.761988
374,36.781968,36.781968
375,36.80206,36.80206
376,36.822041,36.822041
377,36.842133,36.842133
378,36.862113,36.862113
379,36.882205,36.882205
380,36.902186,36.902186
381,36.922277,36.922277
382,36.942259,36.942259
383,36.96235,36.96235
384,36.982331,36.982331
385,37.002423,37.002423
386,37.022404,37.022404
387,37.042495,37.042495
388,37.062476,37.062476
389,37.082567,37.082567
390,37.102548,37.102548
391,37.12264,37.12264
392,37.142622,37.142622
393,37.162712,37.162712
394,37.182694,37.182694
395,37.202785,37.202785
396,37.222766,37.222766
397,37.242858,37.242858
398,37.262839,37.262839
399,37.28293,37.28293
400,37.302911,37.302911
401,37.323002,37.323002
402,37.342983,37.342983
403,37.363075,37.363075
404,37.383056,37.383056
405,37.403147,37.403147
406,37.423129,37.423129
